Registro;Frecuencia;Memoria;Observaciones;Localidad;Banda;Fecha;Exportar;Comprobado;Mhz;Khz;S;R;CTCSS;DCS;Repetidor;Offset;SECRA;Modo
36;152.2500;45;Proteccion Civil;Linares;2 m;25/07/2003;VERDADERO;VERDADERO;152;2500;0;0;79.7;-----;VERDADERO;-4.600;No;FM
37;171.5750;46;Sevillana;Linares;2 m;25/07/2003;VERDADERO;VERDADERO;171;5750;0;0;;;FALSO;;No;FM
38;172.5125;48;Servicio Unificado de Emergencias 112 Jaen;Jaén;2 m;25/07/2003;VERDADERO;VERDADERO;172;5125;4;4;;;FALSO;;No;FM
39;153.0750;50;"Rep: -4.6Mhz CTCSS: 146.2Hz";N/A;2 m;25/07/2003;VERDADERO;FALSO;153;0750;0;0;;;FALSO;;No;FM
40;166.9000;0;Posible frecuencia de camioneros o gruas.;N/A;2 m;25/07/2003;VERDADERO;FALSO;166;9000;0;0;;;FALSO;;No;FM
41;163.6125;0;"Ambulancias. Frec. Escaner = 163.6150 - 163.6100";Cabra;2 m;25/07/2003;VERDADERO;FALSO;163;6125;0;0;;;FALSO;;No;FM
42;143.5250;0;Frecuencia pirata local de Radioaficcionados;Linares;2 m;25/07/2003;VERDADERO;VERDADERO;143;5250;0;0;;;FALSO;;No;FM
43;154.7450;0;Controlador Aéreo (Recibido por Armónicos);Granada;2 m;25/07/2003;VERDADERO;FALSO;154;7450;0;0;;;FALSO;;No;FM
44;168.3500;29;"REMER Canal 6 Parece en desuso";Linares;2 m;25/07/2003;VERDADERO;VERDADERO;168;3500;0;0;118.8;-----;VERDADERO;+5.000;No;FM
45;166.9800;0;Posibles Camioneros o telefono inalambrico;N/A;2 m;25/07/2003;VERDADERO;FALSO;166;9800;0;0;;;FALSO;;No;FM
46;165.6250;0;Policia Local (Posiblemente);N/A;2 m;25/07/2003;VERDADERO;FALSO;165;6250;0;0;;;FALSO;;No;FM
47;163.4125;3;Bomberos Linares;Linares;2 m;25/07/2003;VERDADERO;VERDADERO;163;4125;0;0;79.7;-----;VERDADERO;-4.600;No;FM
48;160.6750;4;Policia Local Jaen CTCSS 79.7;Jaén;2 m;25/07/2003;VERDADERO;VERDADERO;160;6750;0;0;;;FALSO;;No;FM
49;154.0050;0;Aviones;N/A;2 m;28/07/2003;VERDADERO;FALSO;154;0050;0;0;;;FALSO;;No;FM
50;084.3250;0;Bomberos (1);Jaén;HF;28/07/2003;VERDADERO;FALSO;084;3250;0;0;;;FALSO;;No;FM
51;167.7900;1;Bomberos Jaén;Jaén;2 m;28/07/2003;VERDADERO;VERDADERO;167;7900;0;0;;;FALSO;;No;FM
52;171.7900;0;DTMF No se escucha nada mas;Jaén;2 m;28/07/2003;VERDADERO;FALSO;171;7900;0;0;;;FALSO;;No;FM
53;152.3500;0;Policia Local;Puertollano;2 m;28/07/2003;VERDADERO;VERDADERO;152;3500;3;3;;;VERDADERO;-4.600;No;FM
54;166.0250;0;¿?;N/A;2 m;28/07/2003;VERDADERO;FALSO;166;0250;0;0;;;FALSO;;No;FM
